173	485,644155952923	152,987493921724	1	1514,35584404708	152,987493921724
3366	981,291006143811	878,934920519839	0			1018,70899385619	878,934920519839
3382	914,342716642811	860,595616552191	0			1085,65728335719	860,595616552191
3388	879,688584010962	848,089017085084	0			1120,31141598904	848,089017085084
3412	841,939420375852	808,967157222962	0			1158,06057962415	808,967157222962
3424	851,523287467035	855,701299302553	0			1148,47671253297	855,701299302553
3447	841,979603149548	849,306457833779	0			1158,02039685045	849,306457833779
3458	840,425879377488	920,787093565694	0			1159,57412062251	920,787093565694
3472	835,714211327918	958,057373453575	0			1164,28578867208	958,057373453575
3518	837,884112471709	931,310022074373	0			1162,11588752829	931,310022074373
3760	560,754927848149	739,698072237579	0			1439,24507215185	739,698072237579
3803	560,754927848149	739,698072237579	0			1439,24507215185	739,698072237579
3854	499,120085282652	870,719459039944	0			1500,87991471735	870,719459039944
3907	755,327322259304	916,890216598167	0			1244,6726777407	916,890216598167
3922	774,694043271569	905,735520599486	0			1225,30595672843	905,735520599486
3959	776,923675061994	903,157933279677	0			1223,07632493801	903,157933279677
3975	780,822400692379	931,422648794137	0			1219,17759930762	931,422648794137
4019	673,188447740619	987,02828528833	0			1326,81155225938	987,02828528833
4041	728,485483462823	984,393348049592	0			1271,51451653718	984,393348049592
4052	728,053912401377	994,30489512763	0			1271,94608759862	994,30489512763
4063	624,457938558834	1029,9360730168	0			1375,54206144117	1029,9360730168
4072	645,826521514406	1020,42018209194	0			1354,17347848559	1020,42018209194
4091	683,065211482833	1000,87670851914	0			1316,93478851717	1000,87670851914
4103	639,291969864028	1023,75441664449	0			1360,70803013597	1023,75441664449
4116	657,205341723734	1009,3183759184	0			1342,79465827627	1009,3183759184
4145	652,168163935545	1014,09663052357	0			1347,83183606446	1014,09663052357
4152	669,271306947326	1011,60721732384	0			1330,72869305267	1011,60721732384
4193	757,792096352671	987,756293159369	0			1242,20790364733	987,756293159369
4197	794,574496117824	977,105122080529	0			1205,42550388218	977,105122080529
4227	824,960918751921	968,804890563701	0			1175,03908124808	968,804890563701
4241	854,455936711022	954,949583541535	0			1145,54406328898	954,949583541535
4245	848,154479697414	925,339954016412	0			1151,84552030259	925,339954016412
4264	846,461553487007	917,423717358536	0			1153,53844651299	917,423717358536
4287	876,955531645498	915,330801941925	0			1123,0444683545	915,330801941925
4303	899,509129508948	914,749089018396	0			1100,49087049105	914,749089018396
4340	940,253541723259	919,73005634037	0			1059,74645827674	919,73005634037
4362	941,244959073394	919,253229031558	0			1058,75504092661	919,253229031558
4403	912,919858221805	935,370924120346	0			1087,08014177819	935,370924120346
4671	675,910757120373	780,243470989356	0			1324,08924287963	780,243470989356
4708	686,402611593598	1030,54152979916	0			1313,5973884064	1030,54152979916
4722	767,735789262694	997,054918690646	0			1232,26421073731	997,054918690646
4795	895,040133084294	944,640993941235	0			1104,95986691571	944,640993941235
4812	836,784114712544	819,609828375179	0			1163,21588528746	819,609828375179
4840	841,359885440931	829,430512375283	0			1158,64011455907	829,430512375283
4899	873,149513332925	879,079879587806	0			1126,85048666707	879,079879587806
