1570	726,970111714076	703,702618702032	1	1273,02988828592	703,702618702032
1576	740,475031264497	793,282525433556	1	1259,5249687355	793,282525433556
1599	748,307198362599	811,364772495855	1	1251,6928016374	811,364772495855
1610	745,311839763199	775,22244559613	1	1254,6881602368	775,22244559613
1628	758,79783243594	805,023626409829	1	1241,20216756406	805,023626409829
1649	788,634926499448	776,709775943683	1	1211,36507350055	776,709775943683
1673	775,159336045403	785,872928202702	1	1224,8406639546	785,872928202702
1690	798,101986847951	770,062676400913	1	1201,89801315205	770,062676400913
1715	790,48049723897	771,646456693015	1	1209,51950276103	771,646456693015
1719	755,787706521608	779,236539321668	1	1244,21229347839	779,236539321668
1740	728,001923340116	678,613565681071	1	1271,99807665988	678,613565681071
1756	718,759148267341	706,699970348625	1	1281,24085173266	706,699970348625
1768	710,887513653489	775,549520139888	1	1289,11248634651	775,549520139888
1781	727,326240409035	684,432423918944	1	1272,67375959096	684,432423918944
1805	718,593267291481	733,515214344604	1	1281,40673270852	733,515214344604
1827	716,565110383239	756,407150198487	1	1283,43488961676	756,407150198487
1844	723,965123754174	661,271473678709	1	1276,03487624583	661,271473678709
1858	685,922507698112	716,080945702514	1	1314,07749230189	716,080945702514
1876	680,886062056602	723,412367479837	1	1319,1139379434	723,412367479837
1886	666,163684400583	731,544109066676	1	1333,83631559942	731,544109066676
1910	650,305640644071	701,750669391279	1	1349,69435935593	701,750669391279
1928	634,139844997714	757,110756517482	1	1365,86015500229	757,110756517482
1953	619,904739273804	810,02688755826	1	1380,0952607262	810,02688755826
1971	618,709485215208	812,075768774244	1	1381,29051478479	812,075768774244
1977	648,105468722838	976,92684296304	0			1351,89453127716	976,92684296304
1997	622,258683550283	919,497608565112	1	1377,74131644972	919,497608565112
2016	623,676421805991	932,597853890459	1	1376,32357819401	932,597853890459
2020	627,569612551972	938,723923318831	1	1372,43038744803	938,723923318831
2057	626,00624534472	867,727912543974	1	1373,99375465528	867,727912543974
2074	621,467655602892	839,282904213042	1	1378,53234439711	839,282904213042
2082	623,134461202668	830,949881897207	1	1376,86553879733	830,949881897207
2102	623,988860585064	821,501521251717	1	1376,01113941494	821,501521251717
2123	707,955042898636	840,311053849913	1	1292,04495710136	840,311053849913
2144	730,989891680173	841,704927899384	1	1269,01010831983	841,704927899384
2156	863,340212533118	805,879634063727	1	1136,65978746688	805,879634063727
2172	881,705588427143	764,308180710754	1	1118,29441157286	764,308180710754
2188	932,23986574122	712,842126123772	1	1067,76013425878	712,842126123772
2206	935,733922840156	736,583566243063	1	1064,26607715984	736,583566243063
2218	959,726075958734	714,043214943418	1	1040,27392404127	714,043214943418
2239	965,781487758716	712,970754654605	1	1034,21851224128	712,970754654605
2249	970,092685121071	764,802449109544	1	1029,90731487893	764,802449109544
2276	958,133268661193	780,307419879477	1	1041,86673133881	780,307419879477
2292	985,214612972195	754,04462787368	1	1014,7853870278	754,04462787368
2301	1015,3359178105	748,838727030922	1	984,664082189499	748,838727030922
2328	1026,65587434865	749,781854315697	1	973,344125651348	749,781854315697
2336	1044,60864368247	743,339684537991	1	955,391356317534	743,339684537991
2351	1207,66560631457	690,399020704546	1	792,334393685434	690,399020704546
2372	1201,96300885077	691,897268341158	1	798,036991149233	691,897268341158
2398	1188,43536060025	692,971588102039	1	811,564639399747	692,971588102039
2400	1247,47726921957	668,907270484807	1	752,52273078043	668,907270484807
2435	1248,89687076631	664,481713842017	1	751,103129233688	664,481713842017
2444	1239,97277116918	670,989487472552	1	760,027228830817	670,989487472552
2462	1239,8421480237	670,901704047249	1	760,157851976303	670,901704047249
