1965	1342,93626443293	452,471789487524	1	657,063735567072	452,471789487524
1981	1339,66232694936	428,394044970303	1	660,337673050638	428,394044970303
2003	1349,59647902045	449,838424434298	1	650,403520979551	449,838424434298
2006	1357,19931457226	459,786196629344	1	642,800685427739	459,786196629344
2055	1406,02698113354	501,35214966948	1	593,973018866457	501,35214966948
2088	1399,69529136099	507,577773786624	1	600,304708639007	507,577773786624
2099	1400,39740902028	606,845561263759	1	599,602590979717	606,845561263759
2134	1393,77515091359	634,596000189404	1	606,224849086407	634,596000189404
2149	1396,29603991724	592,238213452432	1	603,703960082759	592,238213452432
2186	1333,35906861368	743,354192271327	1	666,640931386319	743,354192271327
2205	1355,67720761433	671,964085889504	1	644,322792385667	671,964085889504
2225	1334,76761225358	650,996643956521	1	665,232387746418	650,996643956521
2231	1330,09823273712	676,761154386354	1	669,901767262879	676,761154386354
2257	1349,7818228903	604,123218055727	1	650,2181771097	604,123218055727
2268	1345,67992128302	616,010121465789	1	654,320078716977	616,010121465789
2284	1345,09174246454	621,166952029341	1	654,908257535463	621,166952029341
2298	1345,26090677682	622,106780932861	1	654,739093223182	622,106780932861
2319	1340,51664595667	651,69452117202	1	659,48335404333	651,69452117202
2349	1336,10870001469	678,552221939513	1	663,891299985308	678,552221939513
2360	1339,21579567907	676,695287163967	1	660,784204320932	676,695287163967
2379	1346,8075703429	674,225995914036	1	653,192429657098	674,225995914036
2390	1350,39296446507	673,805372622658	1	649,607035534927	673,805372622658
2437	1351,04111658111	673,325390071343	1	648,95888341889	673,325390071343
2453	1331,12945327957	678,899586876574	1	668,870546720434	678,899586876574
2455	1332,19179323838	676,09120387492	1	667,808206761615	676,09120387492
2462	1315,86574883452	672,999580460564	1	684,134251165483	672,999580460564
2463	1293,54725596241	677,514187544785	1	706,452744037593	677,514187544785
2500	1094,77340067644	710,356624913579	1	905,226599323558	710,356624913579
2508	1085,41249425076	713,634542868993	1	914,587505749239	713,634542868993
2523	1061,2321563281	721,868489052589	1	938,767843671905	721,868489052589
2538	1048,12570723112	725,188187644217	1	951,874292768878	725,188187644217
2553	1028,84585684314	734,681140976191	1	971,154143156858	734,681140976191
2570	1032,07887932643	734,810739925107	1	967,921120673572	734,810739925107
2590	1033,1923100087	766,523155823941	1	966,807689991299	766,523155823941
2609	1031,61379518698	783,071533696636	1	968,386204813018	783,071533696636
2639	1026,8853632684	826,92183934187	1	973,114636731601	826,92183934187
2660	1027,61676498307	822,336481969958	1	972,383235016929	822,336481969958
2675	1126,90148923226	737,238107205677	1	873,098510767742	737,238107205677
2683	1162,37863665202	785,859973724095	1	837,621363347975	785,859973724095
2705	1178,6310135313	782,858938872946	1	821,368986468696	782,858938872946
2721	1176,55018122576	762,979733364236	1	823,449818774242	762,979733364236
2737	1187,30610354526	743,184851472185	1	812,693896454737	743,184851472185
2748	1199,39023579889	731,030468957186	1	800,60976420111	731,030468957186
2763	1232,08475523277	709,775479955338	1	767,915244767235	709,775479955338
2789	1241,57771223479	701,902879161658	1	758,422287765213	701,902879161658
2819	1245,35011122365	700,23178532598	1	754,649888776351	700,23178532598
2822	1255,18423834263	693,725444624813	1	744,815761657374	693,725444624813
2842	1254,73156881485	692,261826113251	1	745,268431185154	692,261826113251
2866	1238,784846626	669,18092120812	1	761,215153374002	669,18092120812
2872	1229,7746664445	718,015195357616	1	770,225333555496	718,015195357616
2898	1230,22990641138	708,687594398276	1	769,77009358862	708,687594398276
2901	1224,12919376217	683,177843493518	1	775,870806237831	683,177843493518
2906	1220,43130784786	670,54186885308	1	779,568692152137	670,54186885308
2953	1222,74128826848	652,33251398289	1	777,258711731522	652,33251398289
2959	1259,03083880085	630,178478434428	1	740,96916119915	630,178478434428
2985	1286,45429676994	621,436142484015	1	713,545703230061	621,436142484015
3019	1316,90174919872	628,362168354822	1	683,098250801282	628,362168354822
3021	1319,24893012834	636,884611041169	1	680,751069871655	636,884611041169
3024	1315,89238038331	645,962152396653	1	684,107619616691	645,962152396653
3039	1323,1651288438	638,336100790799	1	676,834871156196	638,336100790799
3045	1326,07225697307	624,821205819953	1	673,927743026933	624,821205819953
3061	1327,05020501303	612,853229909585	1	672,949794986973	612,853229909585
3438	1402,18553265322	431,063138627912	1	597,814467346784	431,063138627912
3450	1352,05247996309	449,51273368286	1	647,947520036913	449,51273368286
3464	1319,47371859193	464,421226464489	1	680,526281408067	464,421226464489
3492	1324,96230987351	462,504314319855	1	675,037690126492	462,504314319855
3527	1308,6615962298	472,293944172467	1	691,338403770196	472,293944172467
3560	1295,11296183568	501,226074872993	1	704,887038164323	501,226074872993
3568	1288,71586305779	540,512230871886	1	711,284136942208	540,512230871886
3587	1201,56314229715	736,442223836766	1	798,436857702852	736,442223836766
3603	1237,24581978301	682,950007296442	1	762,754180216995	682,950007296442
3621	1207,08257288737	647,877766188814	1	792,91742711263	647,877766188814
3625	1199,22760529213	660,177935807174	1	800,772394707872	660,177935807174
3647	1186,61074541691	628,771776083013	1	813,389254583092	628,771776083013
3664	1180,03766468793	584,337229384365	1	819,962335312071	584,337229384365
3691	1141,37905807974	693,56731948074	1	858,620941920258	693,56731948074
3711	1166,3382856047	618,193555378881	1	833,661714395301	618,193555378881
3725	1142,05752830364	626,520903436912	1	857,94247169636	626,520903436912
3740	1041,20515921361	598,915249708873	1	958,794840786395	598,915249708873
3755	1058,6423081441	597,920378452317	1	941,357691855897	597,920378452317
3777	1067,8209772059	691,974476697324	1	932,179022794096	691,974476697324
3781	1056,90330993933	671,135878141165	1	943,096690060672	671,135878141165
3797	1045,8020103737	643,857864230944	1	954,197989626296	643,857864230944
3815	1043,53917011994	655,126087315284	1	956,46082988006	655,126087315284
3846	1029,47101291027	639,622080294858	1	970,528987089731	639,622080294858
3903	943,779065327117	722,15336227292	1	1056,22093467288	722,15336227292
3920	928,880316609323	621,923295657752	1	1071,11968339068	621,923295657752
3940	742,594195801757	818,382936613422	1	1257,40580419824	818,382936613422
3965	787,316009667131	703,423000816461	1	1212,68399033287	703,423000816461
3988	750,428505029688	736,193115545517	1	1249,57149497031	736,193115545517
4007	762,675771667252	654,684006725765	1	1237,32422833275	654,684006725765
4031	706,034820195171	672,779119753411	1	1293,96517980483	672,779119753411
4066	642,551033014433	775,869038459974	1	1357,44896698557	775,869038459974
4088	708,160648333216	670,064311735235	1	1291,83935166678	670,064311735235
4092	769,598046684308	624,9094476429	1	1230,40195331569	624,9094476429
4097	792,964429582931	598,644360660166	1	1207,03557041707	598,644360660166
4111	805,437174780192	587,55621777384	1	1194,56282521981	587,55621777384
4146	859,459020211911	555,117880375674	1	1140,54097978809	555,117880375674
4158	938,035428769911	512,303145995723	1	1061,96457123009	512,303145995723
4171	1006,21168140705	591,005184619199	1	993,788318592951	591,005184619199
4189	1037,15534337308	623,830829862366	1	962,844656626923	623,830829862366
4205	1085,11486391628	614,080904942118	1	914,885136083723	614,080904942118
4220	1132,69144220501	579,602735830178	1	867,30855779499	579,602735830178
4238	1154,32898127612	600,71184293726	1	845,671018723876	600,71184293726
4254	1168,52296574572	571,981121766702	1	831,477034254282	571,981121766702
4292	1209,63165444383	567,175532748915	1	790,368345556169	567,175532748915
4304	1213,06689876689	661,66674470198	1	786,933101233109	661,66674470198
4330	1207,44377599567	629,906632574286	1	792,556224004333	629,906632574286
4340	1207,06659286793	606,139099550825	1	792,933407132072	606,139099550825
4365	1206,04513021665	618,787112369115	1	793,954869783348	618,787112369115
4371	1201,49055154113	651,062740723919	1	798,50944845887	651,062740723919
4387	1208,32310095921	601,051726335353	1	791,676899040792	601,051726335353
